Location,Host,Plan,Memory,Price,CPS,Link,Node
GLOBAL,Baseline,G4400,4GB,N/A,17.04,https://drive.google.com/file/d/1f81A7DJ1Xl7ZHGrimLypTFWU30BnqM-O/view?usp=sharing,N/A
GLOBAL,Baseline,G4400,4GB,N/A,17.38,https://drive.google.com/file/d/1l5LVrMsS_SKkjKFT0GGb9tR4TMfmx7nH/view?usp=sharing,N/A
GLOBAL,Baseline,G4400,4GB,N/A,16.95,https://drive.google.com/file/d/1_Plrjv_ZoefFkm7OkPznzQphw9IuOk1-/view?usp=sharing,N/A
NA,PebbleHost,Premium,4GB,9 USD,7.74,https://drive.google.com/file/d/1H7bArreVW_5JgSqCU2dHj1HJweFNa8yf/view?usp=sharing,NA444
NA,EnviroMC,Budget,4GB,4 USD,17.53,https://drive.google.com/file/d/1YFLYkbBkF_2dMXvz7DtivBG3iYBZLLvW/view?usp=sharing,
EU,Birdflop,Premium,4GB,8 USD,33.66,https://drive.google.com/file/d/1mswxvKlPpu6yGLagYCvFh-wokKZ99L08/view?usp=sharing,Hippohips - EU
NA,Birdflop,Premium,4GB,12 USD,33.5,https://drive.google.com/file/d/1fywfxtpRdaYMFsQZw2OAdNzp4jtCE3K2/view?usp=sharing,Crabwings - NYC
NA,Birdflop,Elite,4GB,12 USD,45.5,https://drive.google.com/file/d/1b8zbq2SB9ykzKKDFPCZjnsMwGDcbvc4s/view?usp=sharing,Goosegills - NYC
NA,PebbleHost,Budget,3GB,3 USD,9.93,,
NA,DedicatedMC,High-End,10GB,36 USD,28.24,https://drive.google.com/file/d/1zk7eqrxpEtQX_Xpf7dmlJxobF3h9-Iuw/view?usp=sharing,
EU,DedicatedMC,High-End,10GB,36 USD,33.7,https://drive.google.com/file/d/1jVS2yor7VLmCCGl9CIJR52bXzYvt3xwd/view?usp=sharing,
EU,Volcano Hosting,Premium,4GB,8 EUR,21.02,https://drive.google.com/file/d/12Zqakk-LtoXtdvH2PFPTAwtnvekjfWx-/view?usp=sharing,EU.1
GLOBAL,PebbleHost,Premium,16GB,36 USD,27.423,https://drive.google.com/file/d/1mlLDECVBnTWegHHwQzMhxGPbCW7nuyBb/view?usp=sharing,EU193
GLOBAL,PebbleHost,Premium,16GB,36 USD,27.353,https://drive.google.com/file/d/1GZEefzC_38bNNzEqLgYdZesUbZ0vIaoq/view?usp=sharing,NA507
GLOBAL,PebbleHost,Extreme,6GB,37.50 USD,16.743,https://drive.google.com/file/d/1PhBfW0fKYahhYJzBqxoerjBPDb5pZTsd/view?usp=sharing,NA462
GLOBAL,PebbleHost,Budget,25GB,25 USD,19.796,https://drive.google.com/file/d/16U_RLu1HDBCWuN6JvGScDMPhywgzLpI8/view?usp=sharing,EU87
GLOBAL,PebbleHost,Budget,25GB,25 USD,21.643,https://drive.google.com/file/d/1jlBIMMgVtIh0G2ZW1JRU9kHKajwXUYnz/view?usp=sharing,NA110
NA,Daemex,Beta,4GB,0 USD,14.059,https://drive.google.com/file/d/1yQBZxqqrT-5FzVRPt3bgNxNe4ZC4Ghq1/view?usp=sharing,taurus-dxus-01
GLOBAL,PebbleHost,Premium,16GB,36 USD,29.032,https://drive.google.com/file/d/1oC3urKzT1aUsDTjbOpu7WdSBUUFILVnO/view?usp=sharing,EU196
GLOBAL,PebbleHost,Premium,16GB,36 USD,35.1,https://drive.google.com/file/d/1r3HaumCqJ96BDgvm57vB1kD-Zc6bAgeb/view?usp=sharing,NA493
GLOBAL,PebbleHost,Extreme,6GB,37.50 USD,16.181,https://drive.google.com/file/d/1ewFeCUTUqE2gOLZkWsQfSXnmN9T-x997/view?usp=sharing,EU197
GLOBAL,PebbleHost,Budget,25GB,25 USD,22.464,https://drive.google.com/file/d/1yPGtNuG4wVOoS7uvqW1EoOqkRxmcOSsg/view?usp=sharing,EU240
GLOBAL,PebbleHost,Budget,25GB,25 USD,20.681,https://drive.google.com/file/d/1em6ewmGfhROmS3DWRXFLNiiY-MtKSYuw/view?usp=sharing,NA114
