Plan,Score,ME
GLOBAL PebbleHost Extreme 6GB ($37.50),105,38.43
NA DedicatedMC High-End 10GB ($36.00),165,0.0
EU DedicatedMC High-End 10GB ($36.00),197,0.0
GLOBAL PebbleHost Premium 16GB ($36.00),174,34.05
GLOBAL PebbleHost Budget 25GB ($25.00),124,10.75
NA Birdflop Elite 8GB ($24.00),311,0.0
EU BloomHost Performance+ 8GB ($22.00),133,28.97
EU BloomHost Performance 8GB ($16.00),126,22.55
US WinterNode Default 8GB ($16.00),323,0.0
NA Birdflop Premium 4GB ($12.00),196,0.0
NA PebbleHost Premium 4GB ($9.00),45,0.0
EU Volcano Hosting Premium 4GB ($8.80),123,0.0
EU Birdflop Premium 4GB ($8.00),197,0.0
NA EnviroMC Budget 4GB ($4.00),102,0.0
EU Retronode Budget 4GB ($4.00),68,0.0
NA PebbleHost Budget 3GB ($3.00),58,0.0
NA Daemex Beta 4GB ($0.00),82,0.0
GLOBAL Baseline G4400 4GB (N/A),100,3.27
