Location,Host,Plan,Memory,Price,MSPT,Link,Node
GLOBAL,Baseline,G4400,4GB,N/A,375.821,https://drive.google.com/file/d/1f81A7DJ1Xl7ZHGrimLypTFWU30BnqM-O/view?usp=sharing,N/A
GLOBAL,Baseline,G4400,4GB,N/A,369.069,https://drive.google.com/file/d/1PTpqz4-Z7KyMFI7i64sS2QGnYwkYzcXW/view?usp=sharing,N/A
GLOBAL,Baseline,G4400,4GB,N/A,363.929,https://drive.google.com/file/d/1zJ1Vt_p8bwHalRlME4beNHpNvXcOnHFp/view?usp=sharing,N/A
NA,PebbleHost,Premium,4GB,9 USD,750.216,https://drive.google.com/file/d/1H7bArreVW_5JgSqCU2dHj1HJweFNa8yf/view?usp=sharing,NA444
NA,EnviroMC,Budget,4GB,4 USD,559.926,https://drive.google.com/file/d/1YFLYkbBkF_2dMXvz7DtivBG3iYBZLLvW/view?usp=sharing,
EU,Birdflop,Premium,4GB,8 USD,209.075,https://drive.google.com/file/d/1mswxvKlPpu6yGLagYCvFh-wokKZ99L08/view?usp=sharing,Hippohips - EU
NA,DedicatedMC,High-End,10GB,36 USD,269.205,https://drive.google.com/file/d/1k0PXwOc-evG4E3ceFu-2VL54qjVQv0ch/view?usp=sharing,
EU,DedicatedMC,High-End,10GB,36 USD,151.425,https://drive.google.com/file/d/1vJPcSJ_P1jLEDC64ZYQJ0K0WZtkBAUzp/view?usp=sharing,
EU,EnviroMC,Premium,10GB,25 USD,224.745,https://drive.google.com/file/d/1iegDkNEadk4wjmz_9kh89-xrSLInNgwb/view?usp=sharing,EU-06
EU,VolcanoHosting,Premium,4GB,8 EUR,545.86,https://drive.google.com/file/d/1CU9rYrbCx97jIF55CPkYRD9YaY1DkpAD/view?usp=sharing,EU.1
ASIA,Skynode,STANDARD-01,2GB,5 USD,319.696,https://drive.google.com/file/d/15dFZ2w6czGAmhrjaqC8yCTpIEpcglvV3/view?usp=sharing,SG-SGP04
GLOBAL,PebbleHost,Premium,16GB,36 USD,719.025,https://drive.google.com/file/d/1-3097uagDnRL-RBm111JAV7lJxng3yLa/view?usp=sharing,EU193
GLOBAL,PebbleHost,Premium,16GB,36 USD,436.513,https://drive.google.com/file/d/1OzL8IVtQDXK3tR_NT_0Mz2YCiXPB8PTV/view?usp=sharing,NA507
GLOBAL,PebbleHost,Extreme,6GB,37.50 USD,861.615,https://drive.google.com/file/d/1KK9BJ0OJ1e39H9XZefymHRNOzHOjKp8q/view?usp=sharing,NA462
GLOBAL,PebbleHost,Budget,25GB,25 USD,587.198,https://drive.google.com/file/d/1x_W-X8ipnfkvfaWn9pprN4ziPrT06D-o/view?usp=sharing,EU87
GLOBAL,PebbleHost,Budget,25GB,25 USD,481.495,https://drive.google.com/file/d/1jlBIMMgVtIh0G2ZW1JRU9kHKajwXUYnz/view?usp=sharing,NA110
NA,Daemex,Beta,4GB,0 USD,807.721,https://drive.google.com/file/d/1Wz0c4ZZz6NfWlnNNhiLRIb8oZKoL0wxu/view?usp=sharing,taurus-dxus-01
GLOBAL,PebbleHost,Premium,16GB,36 USD,536.883,https://drive.google.com/file/d/1flV0vGeXKLb1DK7P8p93_g8M0IEUTM-0/view?usp=sharing,EU196
GLOBAL,PebbleHost,Premium,16GB,36 USD,418.115,https://drive.google.com/file/d/1P4-ath6-DjqFAsFD6XOWbo6rZMRu9L13/view?usp=sharing,NA493
GLOBAL,PebbleHost,Extreme,6GB,37.50 USD,411.57,https://drive.google.com/file/d/1tAAjJVIcFVIfqsJ3CIQDJyAEosqke2ah/view?usp=sharing,EU197
GLOBAL,PebbleHost,Budget,25GB,25 USD,307.745,https://drive.google.com/file/d/1Ud5I6hera2tSJUzgpDY4vl07WTtUgL77/view?usp=sharing,EU240
GLOBAL,PebbleHost,Budget,25GB,25 USD,311.386,https://drive.google.com/file/d/17lqYfX9lBrCsLqrj7zGKJhkEzr8988OI/view?usp=sharing,NA114
GLOBAL,PebbleHost,Premium,16GB,36 USD,445.612,https://drive.google.com/file/d/1lslkiDRKFzNBuaYpD_W9LXCsyEGSh5yp/view?usp=sharing,EU196
GLOBAL,PebbleHost,Premium,16GB,36 USD,371.325,https://drive.google.com/file/d/1WVV2-u6PiG8RHNNXc2Uw5kQmDme2Zcl_/view?usp=sharing,NA493
GLOBAL,PebbleHost,Extreme,6GB,37.50 USD,473.061,https://drive.google.com/file/d/140RQsVKDABwmZeC3j8pHoldSSGok-9md/view?usp=sharing,EU197
GLOBAL,PebbleHost,Budget,25GB,25 USD,334.118,https://drive.google.com/file/d/1zUpI00gGymhYV8bk24wr4zXDvZ0eCbYG/view?usp=sharing,EU240
GLOBAL,PebbleHost,Budget,25GB,25 USD,453.34,https://drive.google.com/file/d/1QdI92iEZ2x13QyKw2SVYzOhOwuD80P39/view?usp=sharing,NA114
GLOBAL,PebbleHost,Extreme,6GB,37.50 USD,471.186,https://drive.google.com/file/d/1zkpyaUupmhzz12x5pNFdAvA1rCD4tK9d/view?usp=sharing,NA464
NA,Birdflop,Elite,8GB,24 USD,188.836,https://drive.google.com/file/d/1capNwdUbnS1LEiK0WaUdwV4nkac-1eED/view?usp=sharing,Goosegills - NYC
